Ticker,Short Name,  Market Cap  ,, Exchange ,,GICS Sector Name
DCM US Equity,NTT DOCOMO-ADR,"101,972,066,304",,New York,,Telecommunication Services
GILD US Equity,GILEAD SCIENCES,"101,468,545,024",,NASDAQ GS,,Health Care
SNY US Equity,SANOFI-ADR,"101,006,868,480",,New York,,Health Care
CVS US Equity,CVS HEALTH CORP,"100,053,614,592",,New York,,Consumer Staples
MCD US Equity,MCDONALDS CORP,"98,844,917,760",,New York,,Consumer Discretionary
NKE US Equity,NIKE INC -CL B,"97,352,515,584",,New York,,Consumer Discretionary
UPS US Equity,UNITED PARCEL-B,"96,227,221,504",,New York,,Industrials
ABEV US Equity,AMBEV SA-ADR,"96,156,098,560",,New York,,Consumer Staples
NTT US Equity,NIPPON TELEG-ADR,"94,987,632,640",,New York,,Telecommunication Services
BMY US Equity,BRISTOL-MYER SQB,"94,152,876,032",,New York,,Health Care
AGN US Equity,ALLERGAN PLC,"93,428,883,456",,New York,,Health Care
QCOM US Equity,QUALCOMM INC,"93,355,622,400",,NASDAQ GS,,Information Technology
SNP US Equity,CHINA PETRO-ADR,"89,934,929,920",,New York,,Energy
UTX US Equity,UNITED TECH CORP,"89,492,594,688",,New York,,Industrials
WBA US Equity,WALGREENS BOOTS,"88,988,147,712",,NASDAQ GS,,Consumer Staples
HON US Equity,HONEYWELL INTL,"88,558,206,976",,New York,,Industrials
LFC US Equity,CHINA LIFE-ADR,"86,252,036,096",,New York,,Financials
LLY US Equity,ELI LILLY & CO,"84,830,371,840",,New York,,Health Care
CHTR US Equity,CHARTER COMMUN-A,"84,594,270,208",,NASDAQ GS,,Consumer Discretionary
AZN US Equity,ASTRAZENECA-ADR,"84,273,217,536",,New York,,Health Care
SBUX US Equity,STARBUCKS CORP,"82,393,587,712",,NASDAQ GS,,Consumer Discretionary
VOD US Equity,VODAFONE GRP-ADR,"82,225,799,168",,NASDAQ GS,,Telecommunication Services
BA US Equity,BOEING CO/THE,"81,821,007,872",,New York,,Industrials
CELG US Equity,CELGENE CORP,"81,766,850,560",,NASDAQ GS,,Health Care
MTU US Equity,MITSUBISHI U-ADR,"79,912,337,408",,New York,,Financials
UNP US Equity,UNION PAC CORP,"79,360,032,768",,New York,,Industrials
BHP US Equity,BHP BILLITON-ADR,"77,105,520,640",,New York,,Materials
BBL US Equity,BHP BILLITON-ADR,"76,391,497,728",,New York,,Materials
USB US Equity,US BANCORP,"75,581,325,312",,New York,,Financials
ACN US Equity,ACCENTURE PLC-A,"75,395,604,480",,New York,,Information Technology
WBK US Equity,WESTPAC BANK-ADR,"74,519,134,208",,New York,,Financials
LMT US Equity,LOCKHEED MARTIN,"73,703,038,976",,New York,,Industrials
DEO US Equity,DIAGEO PLC-ADR,"72,888,893,440",,New York,,Consumer Staples
RAI US Equity,REYNOLDS AMERICA,"72,351,924,224",,New York,,Consumer Staples
GS US Equity,GOLDMAN SACHS GP,"71,947,182,080",,New York,,Financials
PCLN US Equity,PRICELINE GROUP,"70,327,140,352",,NASDAQ GS,,Consumer Discretionary
TXN US Equity,TEXAS INSTRUMENT,"69,903,654,912",,NASDAQ GS,,Information Technology
COST US Equity,COSTCO WHOLESALE,"69,205,598,208",,NASDAQ GS,,Consumer Staples
MDLZ US Equity,MONDELEZ INTER-A,"68,739,088,384",,NASDAQ GS,,Consumer Staples
BIIB US Equity,BIOGEN INC,"68,714,078,208",,NASDAQ GS,,Health Care
AVGO US Equity,BROADCOM LTD,"68,468,219,904",,NASDAQ GS,,Information Technology
SPG US Equity,SIMON PROPERTY,"68,090,851,328",,New York,,Real Estate
LOW US Equity,LOWE'S COS INC,"67,313,790,976",,New York,,Consumer Discretionary
CL US Equity,COLGATE-PALMOLIV,"66,763,919,360",,New York,,Consumer Staples
SAN US Equity,BANCO SANTAN-ADR,"65,821,286,400",,New York,,Financials
AIG US Equity,AMERICAN INTERNA,"64,089,702,400",,New York,,Financials
ITUB US Equity,ITAU UNIBANC-ADR,"63,350,599,680",,New York,,Financials
ABT US Equity,ABBOTT LABS,"61,872,107,520",,New York,,Health Care
BIDU US Equity,BAIDU INC-SP ADR,"61,556,367,360",,NASDAQ GS,,Information Technology
HDB US Equity,HDFC BANK-ADR,"61,479,120,896",,New York,,Financials
BLK US Equity,BLACKROCK INC,"61,375,225,856",,New York,,Financials
DD US Equity,DU PONT (EI),"61,281,439,744",,New York,,Materials
TWX US Equity,TIME WARNER INC,"61,083,951,104",,New York,,Consumer Discretionary
DOW US Equity,DOW CHEMICAL CO,"61,051,666,432",,New York,,Materials
MS US Equity,MORGAN STANLEY,"60,967,587,840",,New York,,Financials
AXP US Equity,AMERICAN EXPRESS,"60,221,276,160",,New York,,Financials
TMO US Equity,THERMO FISHER,"59,604,660,224",,New York,,Health Care
CB US Equity,CHUBB LTD,"59,441,807,360",,New York,,Financials
OXY US Equity,OCCIDENTAL PETE,"59,211,923,456",,New York,,Energy
LYG US Equity,LLOYDS BANKING G,"59,128,729,600",,New York,,Financials
PBR US Equity,PETROBRAS SA-ADR,"58,897,833,984",,New York,,Energy
PBR/A US Equity,PETROBR-SP P ADR,"58,897,833,984",,New York,,Energy
RIO US Equity,RIO TINTO-ADR,"58,022,719,488",,New York,,Materials
SHPG US Equity,SHIRE PLC-ADR,"57,840,848,896",,NASDAQ GS,,Health Care
NEE US Equity,NEXTERA ENERGY,"56,882,724,864",,New York,,Utilities
DVMT US Equity,EMC CORP/MA,"56,298,344,448",,#N/A Field Not Applicable,,Information Technology
EPD US Equity,ENTERPRISE PRODU,"56,175,562,752",,New York,,Energy
HMC US Equity,HONDA MOTOR-ADR,"56,081,825,792",,New York,,Consumer Discretionary
DHR US Equity,DANAHER CORP,"56,064,815,104",,New York,,Health Care
E US Equity,ENI SPA-ADR,"55,530,352,640",,New York,,Energy
DUK US Equity,DUKE ENERGY CORP,"55,280,025,600",,New York,,Utilities
CEO US Equity,CNOOC LTD-ADR,"55,045,849,088",,New York,,Energy
NGG US Equity,NATIONAL GRI-ADR,"53,948,174,336",,New York,,Utilities
BT US Equity,BT GROUP-SPON AD,"52,558,790,656",,New York,,Telecommunication Services
ADBE US Equity,ADOBE SYS INC,"51,607,986,176",,NASDAQ GS,,Information Technology
CRM US Equity,SALESFORCE.COM,"51,443,499,008",,New York,,Information Technology
STO US Equity,STATOIL ASA-ADR,"51,054,579,712",,New York,,Energy
TJX US Equity,TJX COS INC,"51,008,176,128",,New York,,Consumer Discretionary
BBD US Equity,BRADESCO-ADR,"50,808,238,080",,New York,,Financials
BBDO US Equity,BRADESCO-ADR,"50,808,238,080",,New York,,Financials
TEF US Equity,TELEFONICA-ADR,"50,747,031,552",,New York,,Telecommunication Services
SO US Equity,SOUTHERN CO,"50,696,970,240",,New York,,Utilities
SMFG US Equity,SUMITOMO MIT-ADR,"50,693,894,144",,New York,,Financials
COP US Equity,CONOCOPHILLIPS,"50,679,631,872",,New York,,Energy
GM US Equity,GENERAL MOTORS C,"50,231,406,592",,New York,,Consumer Discretionary
F US Equity,FORD MOTOR CO,"49,665,511,424",,New York,,Consumer Discretionary
ING US Equity,ING GROEP-ADR,"49,599,184,896",,New York,,Financials
ABB US Equity,ABB LTD-ADR,"49,189,449,728",,New York,,Industrials
AMT US Equity,AMERICAN TOWER C,"48,969,551,872",,New York,,Real Estate
EOG US Equity,EOG RESOURCES,"48,957,714,432",,New York,,Energy
KMI US Equity,KINDER MORGAN IN,"48,932,528,128",,New York,,Energy
PUK US Equity,PRUDENTIAL-ADR,"48,461,279,232",,New York,,Financials
CAT US Equity,CATERPILLAR INC,"47,725,846,528",,New York,,Industrials
MET US Equity,METLIFE INC,"47,537,217,536",,New York,,Financials
MON US Equity,MONSANTO CO,"47,013,113,856",,New York,,Materials
GD US Equity,GENERAL DYNAMICS,"46,954,942,464",,New York,,Industrials
TEVA US Equity,TEVA PHARM-ADR,"46,819,565,568",,New York,,Health Care
D US Equity,DOMINION RES/VA,"46,775,787,520",,New York,,Utilities
ASML US Equity,ASML HOLDING-NY,"46,739,349,504",,NASDAQ GS,,Information Technology
KMB US Equity,KIMBERLY-CLARK,"46,328,320,000",,New York,,Consumer Staples
FOXA US Equity,TWENTY-FIRST C-A,"45,884,768,256",,NASDAQ GS,,Consumer Discretionary
FOX US Equity,TWENTY-FIRST - B,"45,884,768,256",,NASDAQ GS,,Consumer Discretionary
ESRX US Equity,EXPRESS SCRIPTS,"45,716,086,784",,NASDAQ GS,,Health Care
PYPL US Equity,PAYPAL HOLDINGS,"44,740,452,352",,NASDAQ GS,,Information Technology
MFG US Equity,MIZUHO FINAN-ADR,"44,679,901,184",,New York,,Financials
PNC US Equity,PNC FINANCIAL SE,"44,492,181,504",,New York,,Financials
BK US Equity,BANK NY MELLON,"44,468,637,696",,New York,,Financials
FDX US Equity,FEDEX CORP,"43,945,435,136",,New York,,Industrials
SYK US Equity,STRYKER CORP,"43,269,320,704",,New York,,Health Care
ITW US Equity,ILLINOIS TOOL WO,"42,992,791,552",,New York,,Industrials
CHA US Equity,CHINA TELECO-ADR,"42,910,343,168",,New York,,Telecommunication Services
LVS US Equity,LAS VEGAS SANDS,"42,861,064,192",,New York,,Consumer Discretionary
GIS US Equity,GENERAL MILLS IN,"42,532,298,752",,New York,,Consumer Staples
NFLX US Equity,NETFLIX INC,"41,749,278,720",,NASDAQ GS,,Consumer Discretionary
SCHW US Equity,SCHWAB (CHARLES),"41,370,333,184",,New York,,Financials
RTN US Equity,RAYTHEON CO,"41,351,663,616",,New York,,Industrials
MCK US Equity,MCKESSON CORP,"41,298,944,000",,New York,,Health Care
PSX US Equity,PHILLIPS 66,"41,237,127,168",,New York,,Energy
ADP US Equity,AUTOMATIC DATA,"41,233,833,984",,NASDAQ GS,,Information Technology
BBVA US Equity,BANCO BILBAO-ADR,"41,215,078,400",,New York,,Financials
SNE US Equity,SONY CORP-ADR,"41,212,530,688",,New York,,Consumer Discretionary
YHOO US Equity,YAHOO! INC,"41,193,148,416",,NASDAQ GS,,Information Technology
AET US Equity,AETNA INC,"40,948,883,456",,New York,,Health Care
REGN US Equity,REGENERON PHARM,"40,921,657,344",,NASDAQ GS,,Health Care
SYT US Equity,SYNGENTA AG-ADR,"40,845,479,936",,New York,,Materials
TGT US Equity,TARGET CORP,"40,706,170,880",,New York,,Consumer Discretionary
ORAN US Equity,ORANGE-SPON ADR,"40,698,867,712",,New York,,Telecommunication Services
RELX US Equity,RELX PLC - ADR,"40,425,013,248",,New York,,Industrials
RENX US Equity,RELX NV - ADR,"40,177,643,520",,New York,,Industrials
BCS US Equity,BARCLAYS PLC-ADR,"39,374,745,600",,New York,,Financials
PSA US Equity,PUBLIC STORAGE,"39,325,700,096",,New York,,Real Estate
TMUS US Equity,T-MOBILE US INC,"38,907,379,712",,NASDAQ GS,,Telecommunication Services
AMOV US Equity,AMERICA MO-ADR A,"38,879,191,040",,NASDAQ GS,,Telecommunication Services
AMX US Equity,AMERICA-SPON ADR,"38,879,191,040",,New York,,Telecommunication Services
CAJ US Equity,CANON INC-ADR,"38,532,427,776",,New York,,Information Technology
NOC US Equity,NORTHROP GRUMMAN,"38,079,262,720",,New York,,Industrials
BDX US Equity,BECTON DICKINSON,"37,756,010,496",,New York,,Health Care
INFY US Equity,INFOSYS LTD-ADR,"37,440,196,608",,New York,,Information Technology
HAL US Equity,HALLIBURTON CO,"37,302,960,128",,New York,,Energy
HPE US Equity,HEWLETT PACKA,"36,906,684,416",,New York,,Information Technology
CME US Equity,CME GROUP INC,"36,769,169,408",,NASDAQ GS,,Financials
COF US Equity,CAPITAL ONE FINA,"36,686,807,040",,New York,,Financials
EBAY US Equity,EBAY INC,"36,444,729,344",,NASDAQ GS,,Information Technology
ECL US Equity,ECOLAB INC,"36,172,394,496",,New York,,Materials
YUM US Equity,YUM! BRANDS INC,"35,581,095,936",,New York,,Consumer Discretionary
CTSH US Equity,COGNIZANT TECH-A,"35,421,184,000",,NASDAQ GS,,Information Technology
MMC US Equity,MARSH & MCLENNAN,"35,395,616,768",,New York,,Financials
JD US Equity,JD.COM INC-ADR,"35,359,838,208",,NASDAQ GS,,Consumer Discretionary
PX US Equity,PRAXAIR INC,"35,208,994,816",,New York,,Materials
PRU US Equity,PRUDENTL FINL,"34,737,131,520",,New York,,Financials
CUK US Equity,CARNIVAL PLC-ADR,"34,489,401,344",,New York,,Consumer Discretionary
CCL US Equity,CARNIVAL CORP,"34,454,151,168",,New York,,Consumer Discretionary
TRV US Equity,TRAVELERS COS IN,"34,259,351,552",,New York,,Financials
EMR US Equity,EMERSON ELEC CO,"34,049,564,672",,New York,,Industrials
APD US Equity,AIR PRODS & CHEM,"34,017,792,000",,New York,,Materials
ICE US Equity,INTERCONTINENTAL,"34,003,011,584",,New York,,Financials
NOK US Equity,NOKIA CORP-ADR,"33,612,847,104",,New York,,Information Technology
STZ/B US Equity,CONSTELLATION-B,"33,489,596,416",,New York,,Consumer Staples
STZ US Equity,CONSTELLATION-A,"33,489,596,416",,New York,,Consumer Staples
NVDA US Equity,NVIDIA CORP,"33,453,549,568",,NASDAQ GS,,Information Technology
KEP US Equity,KOREA ELEC P-ADR,"33,215,221,760",,New York,,Utilities
LYB US Equity,LYONDELLBASELL-A,"33,141,348,352",,New York,,Materials
SPGI US Equity,S&P GLOBAL INC,"33,113,520,128",,New York,,Financials
BSX US Equity,BOSTON SCIENTIFC,"33,011,634,176",,New York,,Health Care
CI US Equity,CIGNA CORP,"32,887,162,880",,New York,,Health Care
EL US Equity,ESTEE LAUDER,"32,775,217,152",,New York,,Consumer Staples
ANTM US Equity,ANTHEM INC,"32,696,365,056",,New York,,Health Care
AMAT US Equity,APPLIED MATERIAL,"32,448,434,176",,NASDAQ GS,,Information Technology
CCI US Equity,CROWN CASTLE INT,"32,426,346,496",,New York,,Real Estate
RBS US Equity,ROYAL BANK-S ADR,"32,095,031,296",,New York,,Financials
AEP US Equity,AMERICAN ELECTRI,"32,079,124,480",,New York,,Utilities
TLK US Equity,TELEKOMUNIKA-ADR,"31,953,598,464",,New York,,Telecommunication Services
ARMH US Equity,ARM HOLDINGS-ADR,"31,930,030,080",,#N/A Field Not Applicable,,Information Technology
ATVI US Equity,ACTIVISION BLIZZ,"31,734,790,144",,NASDAQ GS,,Information Technology
BX US Equity,BLACKSTONE GROUP,"31,686,404,096",,New York,,Financials
PCG US Equity,PG&E CORP,"31,425,191,936",,New York,,Utilities
EXC US Equity,EXELON CORP,"31,402,139,648",,New York,,Utilities
BBT US Equity,BB&T CORP,"31,350,112,256",,New York,,Financials
VMW US Equity,VMWARE INC-CL A,"31,312,840,704",,New York,,Information Technology
FMX US Equity,FOMENTO ECON-ADR,"31,274,225,664",,New York,,Consumer Staples
PXD US Equity,PIONEER NATURAL,"31,158,663,168",,New York,,Energy
KR US Equity,KROGER CO,"30,842,249,216",,New York,,Consumer Staples
ETN US Equity,EATON CORP PLC,"30,710,437,888",,New York,,Industrials
TSN US Equity,TYSON FOODS-A,"30,526,846,976",,New York,,Consumer Staples
NXPI US Equity,NXP SEMICONDUCTO,"30,500,151,296",,NASDAQ GS,,Information Technology
WPPGY US Equity,WPP PLC-ADR,"30,392,281,088",,NASDAQ GS,,Consumer Discretionary
AFL US Equity,AFLAC INC,"30,304,473,088",,New York,,Financials
AON US Equity,AON PLC,"29,773,760,512",,New York,,Financials
LBTYB US Equity,LIBERTY GLOBAL-B,"29,641,220,096",,NASDAQ GS,,Consumer Discretionary
LBTYA US Equity,LIBERTY GLOBAL-A,"29,641,220,096",,NASDAQ GS,,Consumer Discretionary
LBTYK US Equity,LIBERTY GLOBAL-C,"29,641,220,096",,NASDAQ GS,,Consumer Discretionary
SYY US Equity,SYSCO CORP,"29,555,290,112",,New York,,Consumer Staples
TSLA US Equity,TESLA MOTORS,"29,408,423,936",,NASDAQ GS,,Consumer Discretionary
MNST US Equity,MONSTER BEVERAGE,"29,290,201,088",,NASDAQ GS,,Consumer Staples
HCA US Equity,HCA HOLDINGS INC,"28,970,221,568",,New York,,Health Care
INTU US Equity,INTUIT INC,"28,907,116,544",,NASDAQ GS,,Information Technology
K US Equity,KELLOGG CO,"28,868,349,952",,New York,,Consumer Staples
APC US Equity,ANADARKO PETROLE,"28,835,741,696",,New York,,Energy
PPG US Equity,PPG INDS INC,"28,502,857,728",,New York,,Materials
WM US Equity,WASTE MANAGEMENT,"28,461,293,568",,New York,,Industrials
PLD US Equity,PROLOGIS INC,"28,343,857,152",,New York,,Real Estate
NTES US Equity,NETEASE INC-ADR,"28,255,782,912",,NASDAQ GS,,Information Technology
CRH US Equity,CRH PLC-ADR,"28,127,627,264",,New York,,Materials
PHG US Equity,KONINKLIJKE P-NY,"28,065,370,112",,New York,,Industrials
CHT US Equity,CHUNGHWA TEL-ADR,"28,043,169,792",,New York,,Telecommunication Services
CHU US Equity,CHINA UNICOM-ADR,"27,946,244,096",,New York,,Telecommunication Services
DAL US Equity,DELTA AIR LI,"27,836,899,328",,New York,,Industrials
CS US Equity,CREDIT SUISS-ADR,"27,732,938,752",,New York,,Financials
ALXN US Equity,ALEXION PHARM,"27,732,750,336",,NASDAQ GS,,Health Care
NSC US Equity,NORFOLK SOUTHERN,"27,640,645,632",,New York,,Industrials
VALE US Equity,VALE SA-SP ADR,"27,624,841,216",,New York,,Materials
VALE/P US Equity,VALE SA-SP P ADR,"27,624,841,216",,New York,,Materials
STT US Equity,STATE ST CORP,"27,546,775,552",,New York,,Financials
FMS US Equity,FRESENIUS ME-ADR,"27,460,782,080",,New York,,Health Care
HCN US Equity,WELLTOWER INC,"27,452,092,416",,New York,,Real Estate
TTM US Equity,TATA MOTORS-ADR,"27,072,608,256",,New York,,Consumer Discretionary
ORLY US Equity,O'REILLY AUTOMOT,"26,824,677,376",,NASDAQ GS,,Consumer Discretionary
CSX US Equity,CSX CORP,"26,620,184,576",,NASDAQ GS,,Industrials
ISRG US Equity,INTUITIVE SURGIC,"26,497,677,312",,NASDAQ GS,,Health Care
BSBR US Equity,BANCO SANTANDER,"26,448,859,136",,New York,,Financials
HUM US Equity,HUMANA INC,"26,434,111,488",,New York,,Health Care
DE US Equity,DEERE & CO,"26,427,246,592",,New York,,Industrials
SHW US Equity,SHERWIN-WILLIAMS,"26,415,063,040",,New York,,Materials
EQIX US Equity,EQUINIX INC,"26,401,357,824",,NASDAQ GS,,Real Estate
FIS US Equity,FIDELITY NATIONA,"26,370,279,424",,New York,,Information Technology
SRE US Equity,SEMPRA ENERGY,"26,054,289,408",,New York,,Utilities
LNKD US Equity,LINKEDIN CORP-A,"25,975,867,392",,New York,,Information Technology
GGP US Equity,GENERAL GROWTH P,"25,913,966,592",,New York,,Real Estate
ZBH US Equity,ZIMMER BIOMET HO,"25,881,616,384",,New York,,Health Care
NWL US Equity,NEWELL BRANDS IN,"25,831,454,720",,New York,,Consumer Discretionary
VTR US Equity,VENTAS INC,"25,792,608,256",,New York,,Real Estate
WIT US Equity,WIPRO LTD-ADR,"25,670,711,296",,New York,,Information Technology
ALL US Equity,ALLSTATE CORP,"25,612,230,656",,New York,,Financials
S US Equity,SPRINT CORP,"25,541,085,184",,New York,,Telecommunication Services
ADM US Equity,ARCHER-DANIELS,"25,492,862,976",,New York,,Consumer Staples
CAH US Equity,CARDINAL HEALTH,"25,401,098,240",,New York,,Health Care
ZTS US Equity,ZOETIS INC,"25,375,940,608",,New York,,Health Care
SE US Equity,SPECTRA ENERG,"25,344,790,528",,New York,,Energy
VLO US Equity,VALERO ENERGY,"25,295,321,088",,New York,,Energy
BAX US Equity,BAXTER INTL INC,"25,171,122,176",,New York,,Health Care
EA US Equity,ELECTRONIC ARTS,"25,101,836,288",,NASDAQ GS,,Information Technology
ROST US Equity,ROSS STORES INC,"25,061,249,024",,NASDAQ GS,,Consumer Discretionary
VFC US Equity,VF CORP,"24,896,704,512",,New York,,Consumer Discretionary
HPQ US Equity,HP INC,"24,790,589,440",,New York,,Information Technology
EW US Equity,EDWARDS LIFE,"24,662,011,904",,New York,,Health Care
ILMN US Equity,ILLUMINA INC,"24,614,139,904",,NASDAQ GS,,Health Care
VIV US Equity,TELEFONICA B-ADR,"24,227,919,872",,New York,,Telecommunication Services
DFS US Equity,DISCOVER FINANCI,"24,225,699,840",,New York,,Financials
AVB US Equity,AVALONBAY COMMUN,"24,093,036,544",,New York,,Real Estate
DISH US Equity,DISH NETWORK-A,"24,070,434,816",,NASDAQ GS,,Consumer Discretionary
EIX US Equity,EDISON INTL,"24,012,285,952",,New York,,Utilities
WY US Equity,WEYERHAEUSER CO,"23,847,104,512",,New York,,Real Estate
PPL US Equity,PPL CORP,"23,753,635,840",,New York,,Utilities
ERIC US Equity,ERICSSON LM-ADR,"23,729,240,064",,NASDAQ GS,,Information Technology
AV US Equity,AVIVA PLC - ADR,"23,679,606,784",,New York,,Financials
EQR US Equity,EQUITY RESIDENTI,"23,611,269,120",,New York,,Real Estate
GLW US Equity,CORNING INC,"23,609,692,160",,New York,,Information Technology
VRTX US Equity,VERTEX PHARM,"23,566,231,552",,NASDAQ GS,,Health Care
LUX US Equity,LUXOTTICA GR-ADR,"23,503,673,344",,New York,,Consumer Discretionary
HLT US Equity,HILTON WORLDWIDE,"23,497,293,824",,New York,,Consumer Discretionary
WPZ US Equity,WILLIAMS PARTNER,"23,268,861,952",,New York,,Energy
CBS/A US Equity,CBS CORP-A,"23,230,119,936",,New York,,Consumer Discretionary
CBS US Equity,CBS CORP-B,"23,230,119,936",,New York,,Consumer Discretionary
SYF US Equity,SYNCHRONY FINANC,"23,183,124,480",,New York,,Financials
DVN US Equity,DEVON ENERGY CO,"23,179,771,904",,New York,,Energy
ED US Equity,CONS EDISON INC,"22,998,550,528",,New York,,Utilities
FISV US Equity,FISERV INC,"22,935,513,088",,NASDAQ GS,,Information Technology
IBN US Equity,ICICI BANK-ADR,"22,918,672,384",,New York,,Financials
LUV US Equity,SOUTHWEST AIR,"22,880,382,976",,New York,,Industrials
TEL US Equity,TE CONNECTIVITY,"22,627,196,928",,New York,,Information Technology
STJ US Equity,ST JUDE MEDICAL,"22,409,691,136",,New York,,Health Care
MPC US Equity,MARATHON PETROLE,"22,377,117,696",,New York,,Energy
TAP/A US Equity,MOLSON COORS-A,"22,364,565,504",,New York,,Consumer Staples
TAP US Equity,MOLSON COORS-B,"22,364,565,504",,New York,,Consumer Staples
CTRP US Equity,CTRIP.COM-ADR,"22,137,458,688",,NASDAQ GS,,Consumer Discretionary
PAYX US Equity,PAYCHEX INC,"22,035,716,096",,NASDAQ GS,,Information Technology
CERN US Equity,CERNER CORP,"21,873,428,480",,NASDAQ GS,,Health Care
BXP US Equity,BOSTON PROPERTIE,"21,870,579,712",,New York,,Real Estate
STI US Equity,SUNTRUST BANKS,"21,797,636,096",,New York,,Financials
PEG US Equity,PUB SERV ENTERP,"21,744,291,840",,New York,,Utilities
